m5xFAD	WT
ENSMUSG00000001138	4.00514447604331	3.68047078221897
ENSMUSG00000079610	2.58967398134099	2.22697854532774
ENSMUSG00000026121	3.51351957932557	3.00752131971094
ENSMUSG00000087589	2.31183552233467	1.55732519981532
ENSMUSG00000061518	4.53530433974967	4.60515030605232
ENSMUSG00000037351	7.61114633312663	7.57466408549824
ENSMUSG00000102416	3.17908473879564	1.93004190281533
ENSMUSG00000026116	3.0920756416754	3.21444669877013
ENSMUSG00000080054	5.13750117202041	5.33760733284069
ENSMUSG00000050122	1.69285444228873	1.49140074096692
ENSMUSG00000026113	4.34514122765936	4.25333347846242
ENSMUSG00000026112	5.22655762989688	5.02326684225019
ENSMUSG00000026111	5.10138889995822	5.33636185722201
ENSMUSG00000026110	2.6098744574247	2.45364988851373
ENSMUSG00000026090	7.02468349108415	7.2462492305367
ENSMUSG00000089767	4.8155591103759	4.16204819476527
ENSMUSG00000060771	0.567151322422745	0.789062564334266
ENSMUSG00000037216	3.23412835246486	3.16689259651649
ENSMUSG00000026088	3.03897466523879	2.86026211519676
ENSMUSG00000026087	3.57896365094109	4.27205195290028
ENSMUSG00000058407	2.94039310968504	2.60719462898184
ENSMUSG00000026083	2.84185108036253	2.5063392674348
ENSMUSG00000026082	1.50743157207572	1.11618266096874
ENSMUSG00000037138	3.82509706195693	3.40903272497303
ENSMUSG00000085391	3.27339432586827	3.19034691459762
ENSMUSG00000048814	5.06569636374683	4.9498871660536
ENSMUSG00000026080	3.80969633133745	3.91045107004871
ENSMUSG00000026078	2.63710525847631	3.12941586010479
ENSMUSG00000103046	2.42657392616843	2.83427375962868
ENSMUSG00000026077	3.58894344478287	3.9462423045754
ENSMUSG00000092563	3.67102115796494	4.17294995784313
ENSMUSG00000073702	3.77924123047385	3.81895710880933
ENSMUSG00000003134	2.80966529271796	2.35717920050909
ENSMUSG00000003135	4.82712046346538	4.7463497635301
ENSMUSG00000085894	3.7427144376305	2.86814168729695
ENSMUSG00000077704	6.32492462650835	6.2418772152377
ENSMUSG00000048234	4.00421037102608	3.63753256960236
ENSMUSG00000050967	5.35860967756573	5.20740778875657
ENSMUSG00000097083	1.74824369615842	1.86853548968534
ENSMUSG00000026074	3.5665213755902	4.08933937756771
ENSMUSG00000102985	3.40124602983527	3.13419426774696
ENSMUSG00000026072	1.46307799471059	1.77651601208331
ENSMUSG00000026065	2.61831776073499	1.72274691876056
ENSMUSG00000026062	2.86241796428336	3.34077016584322
ENSMUSG00000101299	3.01773410758629	2.94662729602137
ENSMUSG00000060424	4.1080983199618	3.87901816346307
ENSMUSG00000093436	2.62491814642098	2.28293388722448
ENSMUSG00000045515	4.72045926115479	4.38169730501781
ENSMUSG00000097063	3.07136001505884	4.00033085384744
ENSMUSG00000099784	2.69525800676532	2.62387716082491
ENSMUSG00000060679	2.80459062165479	3.3906720820865
ENSMUSG00000041907	2.34459393032935	3.02247195786799
ENSMUSG00000070939	3.7916808364592	3.70280798485171
ENSMUSG00000041878	2.82088212117076	2.73783470990011
ENSMUSG00000010290	4.2258445022432	4.35137005424951
ENSMUSG00000008136	4.9665117038507	5.28339232524154
ENSMUSG00000066877	3.65468283662477	3.91232845614436
ENSMUSG00000026051	6.41842314903104	5.20841414795403
ENSMUSG00000100480	4.14227805993063	4.06150486828836
ENSMUSG00000057363	2.91326131480098	2.92474298212539
ENSMUSG00000100701	6.93026396804428	6.87133426727459
ENSMUSG00000041763	1.92332375432637	1.57670321133235
ENSMUSG00000026049	2.19489235218955	2.11300888578216
ENSMUSG00000026047	2.30378124079659	2.06431118579895
ENSMUSG00000041684	3.37820220077056	3.31768092781887
ENSMUSG00000026048	2.84224156573197	3.05285808335812
ENSMUSG00000101567	5.82739041787302	5.6069838854587
ENSMUSG00000026043	0.325665768225679	0.0273215393877351
ENSMUSG00000025995	2.51605886009269	2.03539481681128
ENSMUSG00000084817	9.78750461701437	10.0096771659486
ENSMUSG00000025993	1.34029817129204	1.48260069456204
ENSMUSG00000090682	5.32307594052884	4.9788428094039
ENSMUSG00000041144	-0.338551453991311	-0.775157755962915
ENSMUSG00000101337	0.324497227382171	0.408698100706051
ENSMUSG00000025986	4.86545844825798	3.62802386047203
ENSMUSG00000100213	3.69296474508405	3.61754212371743
ENSMUSG00000100160	7.36619149173644	6.88893319453922
ENSMUSG00000081185	5.78609521519814	5.95878458525637
ENSMUSG00000026109	3.57966019533939	3.17000695588246
ENSMUSG00000045954	4.10178112610428	2.71838884417668
ENSMUSG00000026107	1.52767288010794	0.825800591628219
ENSMUSG00000018417	0.700352959370782	1.63608801576159
ENSMUSG00000072324	3.8822142998516	4.48241417598381
ENSMUSG00000078291	5.92187682889738	5.41370586347524
ENSMUSG00000026104	3.36911650702975	2.67367382071467
ENSMUSG00000026103	5.31613402226294	5.0059710614399
ENSMUSG00000002881	3.09051431909829	3.03423998803049
