m5xFAD-A	WT-A	m5xFAD-B	WT-B
ENSMUSG00000025935	3.63638302430949	4.18575794348138	3.43812348301135	2.97434047660307
ENSMUSG00000025937	2.45362020633333	1.46913754183832	2.39701740980222	1.95952468718466
ENSMUSG00000097711	4.42622153157605	5.13743216532726	4.37186475415009	5.29094835097742
ENSMUSG00000025932	1.67959801299515	1.51164188377641	1.98292866480884	1.18550249384647
ENSMUSG00000025930	1.48488279324119	1.88962447570215	1.46169567126259	2.06690009903742
ENSMUSG00000103492	0.721749981552815	1.12649166401377	1.26991000629452	1.30376728734905
ENSMUSG00000081201	8.09359802644266	7.79492923219834	7.47700719754229	8.42971520644005
ENSMUSG00000073737	7.70239211389672	7.89547064759709	7.36117720683323	7.85440020395819
ENSMUSG00000092083	1.23693958281038	-0.262605191448515	1.31303437358326	1.07468277677569
ENSMUSG00000025925	1.95433134816581	1.45592768462071	2.38380755258461	2.20893830200325
ENSMUSG00000043716	6.21998034769174	5.89754540219093	5.4326155478193	6.10074091792796
ENSMUSG00000025921	2.36530341294579	2.19558588360365	3.17912443806634	2.77101915779352
ENSMUSG00000025920	4.54375168717115	4.59789793493844	4.60114869240233	4.79996733442138
ENSMUSG00000025939	3.53652511810036	2.95768512743813	4.1143016614488	3.33270905157466
ENSMUSG00000079658	5.91361514469509	5.43945358504594	5.53086957146636	6.15958784300066
ENSMUSG00000025940	5.06167907850358	5.33731871520467	5.55195085762801	5.28466697176939
ENSMUSG00000091020	4.26431055432652	3.58129231534391	4.20365822937433	4.83847098818126
ENSMUSG00000042686	2.68613243527308	2.52052046992429	2.62653081628502	2.96526285928892
ENSMUSG00000025777	3.97529783094903	3.72807714146403	4.24624448951357	4.19764179937985
ENSMUSG00000101589	3.48643259979674	3.61204683816241	4.16009717742155	3.62817165713855
ENSMUSG00000109887	2.79670370552688	1.27667010390807	2.01950687780301	2.05336415885754
ENSMUSG00000100720	5.03414392994383	5.87049235600795	5.24320202888399	5.51084970929716
ENSMUSG00000025927	1.17194541633921	-0.0255891963929216	1.12542890933169	0.168192938577867
ENSMUSG00000100204	2.99111413720752	2.81892591165069	3.93160292296912	3.24572109104496
ENSMUSG00000090142	5.49919968032333	4.51471701582831	4.64410518347922	3.68686921272539
ENSMUSG00000041859	0.92545538462717	1.33019706708813	1.47361540936887	1.50747269042341
ENSMUSG00000097934	3.2564848521883	3.07435816265854	2.64642935821898	2.66872186601514
ENSMUSG00000025931	5.96738857912058	5.28992407375601	5.86788852886771	5.49923900696801
ENSMUSG00000041779	1.10023429414701	0.924329619488585	2.04337205339819	0.0964818163856691
ENSMUSG00000025933	4.98881000422994	5.14858967934423	5.14798138417182	5.20026902351425
ENSMUSG00000025934	0.714091109338185	1.11883279179914	1.26225113407989	1.29610841513442
ENSMUSG00000096375	4.87006803084922	4.08852290970527	5.81761461026424	4.86521696465474
ENSMUSG00000028033	3.65049461793	3.49033304806596	4.0760219536607	4.01289986760321
ENSMUSG00000082935	6.31358346843403	6.59770880500055	6.64697555098605	7.05002943346579
ENSMUSG00000041670	4.36307200048362	4.13832136346908	4.68539770309167	4.53137443460738
