	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000095828	15.558568092579023	4.970374407665815	1.492495291308071	3.330244615585768	0.000867697194279688	0.006117814395111218
ENSMUSG00000094667	11.878422944041857	7.188239450726831	2.651110865842182	2.7114065818003175	0.006699841704649445	0.025214944793849604
ENSMUSG00000093830	26.028293989014315	5.86783088070999	1.3892712048448772	4.223675593539117	2.4034994642403516e-05	0.001137229772599528
ENSMUSG00000096430	27.864159986956683	5.858970570143731	1.3902910259689163	4.214204408073856	2.5066019619527106e-05	0.001137229772599528
ENSMUSG00000094548	11.133320916129772	5.570257529711026	1.9162317593220535	2.9068809149065227	0.0036505214100702637	0.017334533511020225
ENSMUSG00000094919	25.055288875845957	6.785969690778449	1.7279377626576562	3.9272072394212176	8.593792918439311e-05	0.0016286248849076658
ENSMUSG00000094888	32.88401072090729	5.470008541816054	1.256425890503586	4.353626093795017	1.3390401731952108e-05	0.0009795874071565293
ENSMUSG00000095428	10.443040440248094	5.479969255326344	1.8871378999749393	2.903852047801656	0.003686023026620162	0.017334533511020225
ENSMUSG00000096390	31.20336118395732	4.488448712298055	1.073931757550701	4.179454309587407	2.9220941869637e-05	0.001137229772599528
ENSMUSG00000094550	27.607603743105948	4.366827299335955	1.0918902504189003	3.9993280438767864	6.352258165951696e-05	0.0015383512167109106
ENSMUSG00000094513	21.933609909041905	5.72306568794341	1.4558189537695814	3.9311658040476534	8.453494506251529e-05	0.0016286248849076658
ENSMUSG00000095372	23.751610834750792	5.837125197843305	1.434309033337112	4.069642637795044	4.708530532858224e-05	0.0013803428983168583
ENSMUSG00000094604	21.71978748234219	4.837395010122426	1.3189878668086044	3.6675053136211835	0.0002449284622738152	0.0027285030697303016
ENSMUSG00000096048	29.308477347580236	4.557056772737772	1.1621506151101713	3.9212273465137435	8.809909403504585e-05	0.0016286248849076658
ENSMUSG00000096648	17.561346993509588	7.75302183045769	2.588473541831194	2.995209997384358	0.0027425595512442424	0.014976526176892579
ENSMUSG00000094625	14.792313061663979	5.0293902837765065	1.4737401089574287	3.412671103410804	0.0006432952909806107	0.00526934525112059
ENSMUSG00000095581	18.855573115023702	6.437793690378423	1.778138928118043	3.6205234521197354	0.0002940075987280971	0.0031492737017605786
ENSMUSG00000094538	15.849294009790743	7.604915129689938	2.601690686536437	2.923066592444993	0.003466023798909438	0.016947690906172333
ENSMUSG00000094364	21.73527297944102	5.0410212775001835	1.3019862535942222	3.8717930113195123	0.00010803768109021414	0.0016286248849076658
ENSMUSG00000095009	10.271388966834412	5.554737619665535	1.897437652459867	2.9274941458362487	0.0034170549367649843	0.016947690906172333
ENSMUSG00000096041	20.356659150241107	7.965548485487314	2.5916698366065996	3.0735197720698086	0.0021154966867600535	0.012948699500278568
ENSMUSG00000093943	19.29731920682351	7.889026832772712	2.57895750552862	3.058998380493154	0.0022207835049868102	0.013159323534868652
ENSMUSG00000094308	14.45846203441766	7.472087484746479	2.618663756028485	2.853397068464715	0.004325453793165464	0.018676571804598165
ENSMUSG00000093860	19.0801882695105	5.521994346635248	1.4811639378168913	3.728145281996397	0.00019289417286769134	0.0022383761309855013
ENSMUSG00000094917	35.24927786926092	4.408854982948597	1.0411331100795467	4.234669842179684	2.288877379079802e-05	0.001137229772599528
ENSMUSG00000094587	17.906487231450427	7.780872414914754	2.5907068544698975	3.003378171285555	0.0026700042517255195	0.014871923682111144
ENSMUSG00000096324	40.43798862876317	5.955107767837651	1.2228696721446894	4.8697812232054805	1.1172187563111928e-06	0.0001555727118163336
ENSMUSG00000094049	23.40277543473919	4.670031716577963	1.2045028942357034	3.8771444543030764	0.00010568961298826256	0.0016286248849076658
ENSMUSG00000095671	15.824445844717019	6.183686446772795	1.8218825785147938	3.394119094005368	0.0006884974429713224	0.00547847251050038
ENSMUSG00000095997	18.72570594343858	6.428035818381534	1.796884550680284	3.5773226587918177	0.00034713157643015055	0.003515496146756252
ENSMUSG00000095885	15.128111211473739	6.034530050666192	1.8231589802187873	3.309930793825792	0.0009331904123027792	0.006497338245658101
ENSMUSG00000095314	18.083263926747062	6.377199637889761	1.7930690402875675	3.556583430199097	0.00037570919963674084	0.00373696471781544
ENSMUSG00000093958	19.108324365353706	5.410866008401377	1.4298680435842988	3.7841715763069823	0.00015422140840608194	0.002202598063645837
ENSMUSG00000094765	18.3871415670367	4.690552660467852	1.3278254062455805	3.5325070889631234	0.0004116391895422682	0.003886153026695651
ENSMUSG00000096281	15.486810403793783	4.965743663193503	1.4845324463648737	3.3449882994157236	0.0008228604167496227	0.0060307006859149975
ENSMUSG00000096454	21.57112630304495	4.547779891448782	1.2068122686730205	3.7684236475731248	0.00016428171825585159	0.002235627789568375
ENSMUSG00000093870	24.408629992906313	6.811900000066405	1.7521968282346425	3.887634020505259	0.00010122609868086697	0.0016286248849076658
ENSMUSG00000094524	18.954537964173504	5.397616229121963	1.4456255577095447	3.733758164648091	0.00018864363753988084	0.002235627789568375
ENSMUSG00000094099	10.097900202307255	5.43144641028039	1.8813877551294875	2.8869361966834783	0.0038901310764274653	0.01784716422633794
ENSMUSG00000094912	18.20286007472246	6.3872444181792325	1.810921930221727	3.5270677943566495	0.0004201891592988251	0.0039007560288240933
ENSMUSG00000094636	21.508298829663392	8.045873927560732	2.5641840272034315	3.1377911422121216	0.0017022612498121658	0.01077827485027826
ENSMUSG00000094567	16.2342714269967	4.503278554348961	1.332227510512251	3.380262394234314	0.0007241665868260665	0.005669861444345931
ENSMUSG00000094458	14.956459738060056	6.1017448640241865	1.83158530324889	3.3314008652509015	0.0008641007122819154	0.006117814395111218
ENSMUSG00000095628	16.351508579681266	6.15569878198121	1.777854244384717	3.4624316371399644	0.0005353178878856712	0.004587262516189521
ENSMUSG00000096185	25.702856114420428	5.952342057660502	1.4355562950927907	4.146366170388155	3.3779346748714366e-05	0.001137229772599528
ENSMUSG00000096447	17.110258813578703	7.714939453339236	2.6033385233168898	2.9634791573359047	0.0030418266093663188	0.015544013040523299
ENSMUSG00000096814	23.602041299818715	5.724158218765829	1.3954159000884419	4.1021162353123755	4.093885102488488e-05	0.0012668300011589376
ENSMUSG00000096306	13.12388167088717	4.982353824560954	1.5777701198069896	3.1578452158610095	0.0015893992461969747	0.010415239766255469
ENSMUSG00000096067	17.321225762080147	6.3149270714473245	1.7854784978324314	3.5368261668307057	0.00040496611504503685	0.003886153026695651
ENSMUSG00000094032	24.429673164459306	4.505059031644774	1.1586946565590672	3.8880467827678444	0.00010105415201886612	0.0016286248849076658
ENSMUSG00000096090	19.047855887262987	7.870103998129689	2.583040365714699	3.0468374023849676	0.002312627706483078	0.013418058671990358
ENSMUSG00000096595	16.973319297547185	5.105266803140212	1.4714354074906244	3.469582679029519	0.0005212676033497938	0.004587262516189521
ENSMUSG00000095402	20.285313334183265	4.149971529186897	1.1704755922083911	3.545542988518839	0.0003918050738539481	0.003828691686607879
ENSMUSG00000095764	20.119825849581144	5.486071195371294	1.4378535606985048	3.8154589210782897	0.00013593006889063276	0.0019924486413705907
ENSMUSG00000075968	22.657151702649745	5.198775554879501	1.3297216672848855	3.909671988345281	9.242153312028758e-05	0.0016286248849076658
ENSMUSG00000095924	28.904705922662153	5.462218487815433	1.2577717277046825	4.342774103996978	1.4069478020201498e-05	0.0009795874071565293
ENSMUSG00000094998	20.74533172951783	6.576429209781942	1.759784527035464	3.7370650262851246	0.0001861807867706334	0.002235627789568375
ENSMUSG00000095357	23.520941522902397	6.693911516381854	1.7290403207188665	3.8714606225023083	0.00010818513598129916	0.0016286248849076658
ENSMUSG00000095021	24.621955936698587	4.827279667382753	1.2005191638200379	4.020993427562127	5.795322211990628e-05	0.001537140224799419
ENSMUSG00000095660	22.980752286130155	4.921988733093485	1.3168096222147048	3.737813462218883	0.00018562758445584787	0.002235627789568375
ENSMUSG00000094037	19.408914074873863	4.775353473547131	1.300727136657889	3.6712953385573304	0.00024132428110084435	0.0027285030697303016
ENSMUSG00000094438	24.64680410177231	5.227408466248043	1.2626155368753333	4.140142674930652	3.470898767359421e-05	0.001137229772599528
ENSMUSG00000096392	19.30573235947594	5.5382983088436	1.473010416206732	3.759850064811978	0.00017001522204974172	0.002235627789568375
ENSMUSG00000096821	20.90054819051022	4.583577000879789	1.2270548491594429	3.7354295971525886	0.00018739500279332436	0.002235627789568375
ENSMUSG00000095714	26.60226624769008	5.250681615947894	1.2541689852181286	4.186582253136072	2.8318633865680253e-05	0.001137229772599528
ENSMUSG00000095945	29.0252310061162	6.0275907386137995	1.385904238228865	4.349211563359414	1.366278559411693e-05	0.0009795874071565293
ENSMUSG00000094847	25.648963497868674	5.844793716763297	1.409765825128734	4.145932333286328	3.384337704599051e-05	0.001137229772599528
ENSMUSG00000094148	22.310174173595428	4.9858010197301565	1.2806963051591331	3.8930392784342773	9.899611630845619e-05	0.0016286248849076658
ENSMUSG00000096812	28.4845200651666	6.099782338241728	1.4157490072580832	4.308519594200762	1.643509184018893e-05	0.001017149572776137
ENSMUSG00000094129	22.008655528596623	5.059553650403205	1.297908420410803	3.898236247517216	9.689586149712685e-05	0.0016286248849076658
ENSMUSG00000095587	19.420203285568387	6.407421875642785	1.773418446276433	3.6130344133366608	0.00030263451996535905	0.0031805175022774526
ENSMUSG00000095182	21.06984066863307	5.556087184849332	1.412542180363725	3.933395591357603	8.375422811346315e-05	0.0016286248849076658
ENSMUSG00000094048	24.752324232617255	3.8023129872119266	1.1000319293720695	3.4565478380090284	0.0005471420820948166	0.004617547571618377
ENSMUSG00000094442	26.561500132946314	6.934688602697928	1.7560559396790705	3.9490134943908926	7.847392826125232e-05	0.0016286248849076658
ENSMUSG00000096028	16.693360886852624	7.679891373566385	2.593973723733052	2.9606666032507314	0.003069740421145157	0.015544049223435021
ENSMUSG00000096136	14.39418856280621	4.538870235447417	1.4326899512730218	3.168075710599064	0.0015345155304663633	0.010175299410354338
ENSMUSG00000094922	15.0769848215141	7.53234939968452	2.6182011761867625	2.876917735807792	0.00401580271186957	0.017894416884090804
ENSMUSG00000096565	15.113534070009738	5.061161552131616	1.472769228996775	3.4364932757178743	0.0005892969814545838	0.004899080875674674
ENSMUSG00000096285	12.377349583162898	7.248186357542252	2.634707605384627	2.7510401316369704	0.005940636498374269	0.023139402304856418
ENSMUSG00000094753	22.26233571440527	4.9832045319963765	1.2770603319121683	3.9020901420803855	9.536562781089137e-05	0.0016286248849076658
ENSMUSG00000094903	17.287964444353985	7.73031493154723	2.591265506177556	2.983219941421758	0.002852329415261141	0.015124186043361855
ENSMUSG00000094554	11.830584484851698	7.182763251414647	2.6450173310412386	2.715582679598956	0.00661592545578064	0.025214944793849604
ENSMUSG00000095501	19.299678202114343	5.423790160508275	1.4518699732206903	3.7357272073591092	0.0001871734910571825	0.002235627789568375
ENSMUSG00000095511	12.032209345222059	7.207824318296571	2.63509238365556	2.7353212976531167	0.0062319414009757565	0.023939250760989628
ENSMUSG00000094522	12.232905270113775	5.809477496514456	1.851514437045488	3.1376895476898348	0.0017028513228446803	0.01077827485027826
ENSMUSG00000096359	15.38362868839586	6.142571235792237	1.8078860959899672	3.3976538950196806	0.0006796634786418327	0.00547847251050038
ENSMUSG00000094283	19.372364826378227	6.4048023971525385	1.7671303493909636	3.624408578212657	0.0002896234434230432	0.0031492737017605786
ENSMUSG00000095220	15.257978383058862	6.051689265232694	1.7940673120800208	3.3731673413169965	0.0007430877655965044	0.005669861444345931
ENSMUSG00000096248	10.070693041942695	6.950602903678905	2.6698247961113366	2.603392894471062	0.009230610413003725	0.030834269033495936
ENSMUSG00000096148	11.617670413786815	4.666464579939625	1.5239984301004228	3.0619877867145386	0.0021987242362638414	0.013159323534868652
ENSMUSG00000095734	15.820661431040103	3.9812540465504442	1.2763815360308117	3.1191723902016215	0.001813598180058943	0.011350271756099229
ENSMUSG00000094109	19.02106059962582	4.443205779212991	1.2375668003701712	3.5902755131149076	0.00033032861830317034	0.0034072785258308495
ENSMUSG00000000948	23.272281368952846	2.960341507039753	1.0401591223383782	2.8460467667529747	0.004426569332217562	0.018814550318965676
ENSMUSG00000097378	310.86895906589456	2.372978364141231	0.7828227266552167	3.0313100058812887	0.002434951081334992	0.01383946686024072
ENSMUSG00000094720	82.64351117745956	2.4751450829861925	0.9706727966023992	2.549927320153431	0.010774537828605879	0.033527472461080864
ENSMUSG00000095249	82.31330951117027	2.849915106892604	0.9266644212175963	3.075455409357295	0.0021018135402616255	0.012948699500278568
ENSMUSG00000096307	90.83796339959972	2.5547280966321164	0.9310907697827255	2.743801334458803	0.006073227993751209	0.023491583281384884
ENSMUSG00000095966	87.2858527729603	2.2956815239781903	0.9593665033076242	2.3929139865352087	0.01671515912506658	0.04608241471223301
ENSMUSG00000096367	86.63685083314753	2.6193099895157457	0.9290081272967982	2.8194694024231417	0.004810311679871589	0.01964381238053618
ENSMUSG00000096335	86.03243392587758	2.267362801675342	0.9543234587682532	2.37588501135855	0.01750691758215626	0.047336665501267174
ENSMUSG00000094097	88.29319913047107	2.387458902295876	0.989657777795345	2.41240856775198	0.01584751170450504	0.044570161604240106
ENSMUSG00000095449	90.14910834210411	2.71217992881549	0.9296701352033474	2.917357271267247	0.003530111688764591	0.017098019222972848
ENSMUSG00000094801	85.91845484126645	2.6430528518032665	0.9302681091282807	2.841173233682032	0.004494788881694044	0.018814550318965676
ENSMUSG00000094751	82.8601044721775	2.3384585463742282	0.9507446195446502	2.459607446944281	0.013908905647970924	0.040561573015286935
ENSMUSG00000094178	127.03497504723626	2.5887646040660734	0.9044182059256766	2.862353485483477	0.004205076298515277	0.01844273620687409
ENSMUSG00000096855	90.16083000536985	2.6495975543962875	0.9199080801647528	2.880285119271648	0.003973156847515089	0.01784716422633794
ENSMUSG00000094956	100.5321014598411	2.3310849278552626	0.9326217048458552	2.4994967581636405	0.012436983701427746	0.03744540498213651
ENSMUSG00000095652	89.23711399104764	2.5937059407423906	0.964883433055839	2.6881028856801708	0.007185925187370853	0.026683735529103768
ENSMUSG00000093893	92.03143318196429	2.3744568850117256	0.9462913434333342	2.5092239313917015	0.012099675291678243	0.03662782139926511
ENSMUSG00000096092	86.08074364670524	2.6329810790973	0.9568324339446771	2.75176821530021	0.005927445794979199	0.023139402304856418
ENSMUSG00000093852	131.59915930482032	2.4219811301149865	0.9425180199113445	2.569692121475623	0.010178893309878553	0.032963044032571824
ENSMUSG00000094003	95.64125070152842	2.30829092596365	0.9495241384216007	2.4309976256114303	0.0150573132345848	0.042573215592201695
ENSMUSG00000096785	120.85880780296934	2.652137211448494	0.9285963566325915	2.8560710932207964	0.004289190810598589	0.018664681886745423
ENSMUSG00000094916	92.0408393004316	2.598414831898854	0.9694425288284335	2.680318589941608	0.007355211982193433	0.026952980750537776
ENSMUSG00000096343	92.65702831350711	2.449991749762227	0.9744504216647624	2.5142292468575596	0.011929286185798398	0.036309357407047584
ENSMUSG00000096406	89.05562394659545	2.483944665027635	0.9547694081831788	2.6016173578019313	0.009278531275145042	0.030834269033495936
ENSMUSG00000094541	82.43531045555024	2.546497800588327	0.9734971900660887	2.6158245001358975	0.008901229577488198	0.03060484490531436
ENSMUSG00000095183	86.16973951352276	2.3960568163819205	0.9074727213116737	2.6403623603347843	0.008281742520947362	0.02865174275880547
ENSMUSG00000094760	96.26855271289094	2.3339704153137166	0.8984013430702367	2.5979151003242076	0.009379168050904461	0.030834269033495936
ENSMUSG00000095376	91.32246388839435	2.642906028626694	0.9746051332739433	2.711771094154316	0.006692479112144205	0.025214944793849604
ENSMUSG00000095749	79.74041378762453	2.3875542363882545	1.0036954338804012	2.378763672519359	0.017370808678100223	0.04719775821317963
ENSMUSG00000095645	86.05587490178772	2.582990947256151	0.9678410357950378	2.668817348847314	0.007611883180006424	0.027711234844859985
ENSMUSG00000096300	93.92309775933423	2.443018450130436	0.967961002320873	2.5238810698704066	0.011606718806994916	0.035521661403825094
ENSMUSG00000096170	79.59081438999642	2.932323304527426	0.9858550189318457	2.974396080779241	0.002935658727415433	0.015281887020284076
ENSMUSG00000094270	95.15730843517265	2.411271803620987	0.9427115821218076	2.557804369172826	0.010533533192424957	0.033029277452732535
ENSMUSG00000095350	87.91332171387813	2.693791419751854	0.9559055847626597	2.818051764412164	0.00483160196792362	0.01964381238053618
ENSMUSG00000095453	86.36069741597369	2.840328680617278	0.9523765366854079	2.98235894229669	0.002860364246151119	0.015124186043361855
ENSMUSG00000095723	84.65281549738924	3.050312632895875	0.9318521300845534	3.2733869832106293	0.0010626687768258594	0.007307487761629676
ENSMUSG00000089726	25.031267419995686	-4.0653037552045	1.2077346788605308	-3.3660569878145905	0.0007625095361391848	0.005739429886885486
ENSMUSG00000032244	29.29799130249669	2.6338652764444155	0.9494456288876784	2.7741085916948363	0.00553531979999328	0.02202266520425898
ENSMUSG00000088587	12.980887997494051	3.65888556566509	1.3850471246462073	2.6417047482046545	0.008248993100092137	0.02865174275880547
ENSMUSG00000032216	22.836866867669485	-2.7985775256596903	1.0421549850116365	-2.6853755592105544	0.007244834774271981	0.02672432429979797
ENSMUSG00000035202	1387.817845519	-2.0887822099901237	0.7196798920946804	-2.902376782975792	0.0037034281648319687	0.017334533511020225
ENSMUSG00000023781	47.29632199859773	-3.451469160402094	1.1636311955344436	-2.9661194832585	0.0030158329912878925	0.015544013040523299
ENSMUSG00000101355	13.74933078920046	-7.028030115512219	2.647930534594948	-2.654159549766018	0.007950622402773918	0.028296477099879574
