E12A	E12B	E20A	E20B
ENSMUSG00000042807	-2.39427646699125	-2.22663326385583	-2.9821050017039	-2.43905360531085
ENSMUSG00000041303	-0.999854252546616	0.0647205326284741	-0.931245501662726	-1.67682776279643
ENSMUSG00000073678	-1.7414284778797	-1.48217441979105	-2.23569938289515	-2.02490476864116
ENSMUSG00000052331	-1.931787037065	-2.35736415489704	-3.11283589274511	-3.20198086828228
ENSMUSG00000025982	-0.188376809843319	0.369601833988799	-1.34658157859673	-1.20593168239723
ENSMUSG00000025980	0.49185932640513	0.0662822085730816	-0.689189529274987	-0.146138132881937
ENSMUSG00000073676	1.33375326855689	1.27259966672208	0.152704412876769	0.0635594373396025
ENSMUSG00000025979	-0.385981502654598	0.292421307153948	-1.56703035833472	-1.65617533387188
ENSMUSG00000038349	-1.44108964529642	-1.76221546749737	-1.37248089441253	-1.48586678361602
ENSMUSG00000051223	0.300785138965978	0.352990851453701	-0.193485766049477	-0.756361072040985
ENSMUSG00000026034	-1.13012042219277	-1.19127402402758	-2.31116927787289	-1.33003098156894
ENSMUSG00000026036	-1.06312449456736	-1.12427809640216	-2.24417335024748	-2.33331832578464
ENSMUSG00000026037	-0.0539893529768065	-0.968335496145219	-1.23503820865692	-0.69198681226387
ENSMUSG00000026031	-1.7697409548705	-2.68408709803892	-2.95078981055062	-2.40773841415757
ENSMUSG00000026028	-0.512740059183166	-0.702357574430692	-2.11293766658318	-1.56988627019013
ENSMUSG00000026020	-0.525637373620082	-0.855445386129031	-2.05845976602115	-2.80404202715486
ENSMUSG00000077345	7.54442055375702	8.49476563001208	6.39139116024567	7.0719603351225
ENSMUSG00000089512	7.26787178021529	6.37885585072014	6.29477660222202	5.65509653572577
ENSMUSG00000089093	8.06557801255206	7.59848099958077	6.61741185167688	6.62955725148481
ENSMUSG00000067336	-1.53153403311544	-2.0455407828341	-1.30001144086402	-2.91306947859353
ENSMUSG00000041040	-0.972429021562345	-1.03358262339714	-1.49704059164592	-1.1723395809385
ENSMUSG00000073664	-2.51726174191684	-2.99756409547154	-2.39292179697218	-3.5744079529238
ENSMUSG00000026782	-1.20125298939669	-0.522850179588144	-0.657764292732132	-1.40116354877285
ENSMUSG00000026014	-2.46392145402618	-2.23439021755381	-2.98853302410976	-3.10191891331325
ENSMUSG00000101188	3.03426940602996	3.87492714345531	1.53385350645007	0.970978200458557
ENSMUSG00000081382	2.82310046509847	2.39752334726643	1.64205160941836	1.55290663388119
ENSMUSG00000025969	-1.67235106077067	-2.58669720393908	-2.19696263085425	-1.87226162014683
ENSMUSG00000040865	-1.83409812808246	-2.6788239976344	-2.77785844988594	-2.45315743917851
ENSMUSG00000101599	-1.98068684180866	-1.81304363867323	-2.5685153765213	-2.02546398012825
ENSMUSG00000025968	-1.71515673158721	-1.54751352845178	-1.64654798070332	-2.39213024183702
ENSMUSG00000025967	1.29675037441464	1.71815095285493	-0.6278364674565	0.353301828847457
ENSMUSG00000064612	11.9298960065962	12.033939638178	9.96786362831252	10.0965947572222
ENSMUSG00000027520	-0.536829332373713	-0.351681081075924	-1.22511304854403	-1.63292928425015
ENSMUSG00000025964	-2.268961961519	-3.18330810468742	-2.79357353160259	-2.90695942080607
ENSMUSG00000025959	-0.386405015471379	-1.55552011949445	-1.20506515495796	-2.40013683287969
ENSMUSG00000025958	-0.138582584601391	-1.65749905357698	-3.06807914572947	-3.15722412126663
ENSMUSG00000084416	2.50612725215387	2.73565848862625	1.32507839647376	1.23593342093659
ENSMUSG00000025950	0.842231833890438	1.28251485812335	-0.757965773509579	-0.214914377116525
ENSMUSG00000025949	-1.62683293400671	-2.79594803802978	-2.89498249028132	-3.0083683794848
ENSMUSG00000015222	-0.55115208884601	-0.515685582527773	-0.343652709446182	0.0288264974848218
ENSMUSG00000026003	0.296667235342202	0.82873395447487	-0.291161299370444	0.251890097022606
ENSMUSG00000062209	-1.73353331256419	-2.15911043039624	-2.25814488264777	-2.37153077185125
ENSMUSG00000026196	-0.60705734443081	-0.668210946265614	-1.13166891451439	-1.87725117564809
ENSMUSG00000026193	-0.227802289733898	-0.236175371885569	-2.17770760610181	-1.51742357505979
ENSMUSG00000073652	0.829296731062378	0.403719613230329	-0.35175212461774	-0.440897100154906
