E12	E20
ENSMUSG00000026202	-0.757087653576949	-0.576550495592702
ENSMUSG00000026209	0.127518819198805	-0.786172957670463
ENSMUSG00000026208	-0.484891776365561	-0.883461390174162
ENSMUSG00000033021	0.406701342247985	-0.592746245454375
ENSMUSG00000032997	-0.280378053358437	-1.2798256410608
ENSMUSG00000026211	-1.02527725681288	-2.05688152344056
ENSMUSG00000026235	-0.794347269349437	-1.98449984350453
ENSMUSG00000032883	-0.456645745888704	-1.09836785325846
ENSMUSG00000099377	1.08901169140889	0.239207485567615
ENSMUSG00000026249	-1.62731304837145	-2.02588266218005
ENSMUSG00000100397	2.73160684404571	2.08988473667596
ENSMUSG00000096297	4.64781653659441	4.2492921550839
ENSMUSG00000004364	0.0695408017620629	-0.535741200689902
ENSMUSG00000054976	-2.51395173720177	-2.33341457921752
ENSMUSG00000055980	-1.31803068848499	-1.88145757919953
ENSMUSG00000065055	4.77461131435011	4.66244667658401
ENSMUSG00000026150	-2.15561014621509	-1.73622777947104
ENSMUSG00000026159	-1.64413947854189	-1.75628167278169
ENSMUSG00000036766	-1.12738990747483	-0.503145827691736
ENSMUSG00000026219	-0.91733338591915	-2.30153798003046
ENSMUSG00000036707	-0.254775481579575	-0.893305856963213
ENSMUSG00000026223	0.106811852224478	0.233492422341801
ENSMUSG00000026227	-0.60512787195108	-0.424590713966833
ENSMUSG00000026229	-0.263696245066178	-1.83765711438908
ENSMUSG00000077274	4.90985604013651	4.06002180392216
ENSMUSG00000026234	0.588509331426799	-2.03733353782319
ENSMUSG00000104627	4.95801186388872	4.08030408726167
ENSMUSG00000064823	12.0368067355066	11.0552236363621
ENSMUSG00000026238	2.04932324150159	0.47536237217869
ENSMUSG00000026254	-0.543769658855116	-2.23903399163869
ENSMUSG00000048000	-1.76974919891441	-2.27766562883624
ENSMUSG00000026288	-1.50287978686641	-1.90141176520525
ENSMUSG00000026289	-1.60050914360297	-2.24226128498945
ENSMUSG00000087968	5.33473186789244	6.35344675398485
ENSMUSG00000089281	3.77265515955966	3.665680998682
ENSMUSG00000070738	-0.901341819934252	-1.46473944857002
