m5xFAD	WT
ENSMUSG00000101429	1.57146544580182	1.46798541470005
ENSMUSG00000038323	4.5402442752039	3.00283318533924
ENSMUSG00000048495	4.31647923981667	3.79498239440499
ENSMUSG00000025971	2.67251229587196	2.43751951023239
ENSMUSG00000038305	3.52325228199443	3.27517163319419
ENSMUSG00000054770	1.89608543668248	2.23901002337678
ENSMUSG00000063558	2.35442348945576	2.16926839163729
ENSMUSG00000064294	1.60194377457218	1.06714567861411
ENSMUSG00000038242	0.220347638903238	0.608763421289876
ENSMUSG00000103839	2.88868313938032	1.80075723049703
ENSMUSG00000051223	5.77802161900983	5.11254282277262
ENSMUSG00000026034	5.48303073745836	5.11873334321836
ENSMUSG00000026035	3.80167353250216	3.59881337961158
ENSMUSG00000026036	3.41688812578604	3.26198858346096
ENSMUSG00000026037	4.0011158955562	3.69798842721861
ENSMUSG00000038174	2.26557452607165	2.11187188176229
ENSMUSG00000026032	8.58358701912442	8.51803164990564
ENSMUSG00000102059	3.86657316348921	3.78223728417065
ENSMUSG00000026031	2.53297719962322	2.44166086179667
ENSMUSG00000026029	2.88519673713171	2.66709944540327
ENSMUSG00000026028	5.81329023301329	5.36394024014398
ENSMUSG00000026027	3.89495982784802	3.67891756490916
ENSMUSG00000038079	5.24594712315655	4.51826146477275
ENSMUSG00000097573	1.77168667895149	2.25306092742841
ENSMUSG00000079550	1.14120815177852	0.639957687823873
ENSMUSG00000026024	3.45406274125882	3.26022562228869
ENSMUSG00000041075	3.41341133499121	2.79512816030273
ENSMUSG00000047361	2.49954412168711	2.6088109581992
ENSMUSG00000026021	6.80953435613574	6.58292445713123
ENSMUSG00000026020	3.16284335769032	3.19549836038013
ENSMUSG00000067336	3.25214474998264	3.01391093508075
ENSMUSG00000041040	3.88798921872626	3.70370033339567
ENSMUSG00000026018	4.52668051607743	3.96406244170581
ENSMUSG00000026019	3.24965270171551	3.52974035420866
ENSMUSG00000026017	0.7899711740016	1.19610473995101
ENSMUSG00000073664	0.292782860049545	-0.243801097957874
ENSMUSG00000049439	4.66266201750714	4.22939314365137
ENSMUSG00000026782	4.79210676323254	4.75983416999081
ENSMUSG00000026014	1.98243253303496	1.81880652388267
ENSMUSG00000101188	3.99538203189938	4.0612661475399
ENSMUSG00000081382	3.90856552417211	4.38993977264904
ENSMUSG00000052062	-0.165015819293721	-0.256990888275133
ENSMUSG00000025969	3.68323203245522	3.79244622426441
ENSMUSG00000100426	3.49273771959668	3.39014392932372
ENSMUSG00000040865	2.6324198275751	2.0337281537631
ENSMUSG00000084799	3.0145119970318	2.16015309280193
ENSMUSG00000101599	0.679859209797673	0.598152871616549
ENSMUSG00000025968	5.5865791957038	5.43521707969104
ENSMUSG00000025967	8.04860813225865	8.15973137017012
ENSMUSG00000046856	2.23268623532169	2.14071116634028
ENSMUSG00000027520	1.87209517474549	2.27805148991668
ENSMUSG00000025964	3.8597092036191	3.37175579615764
ENSMUSG00000025963	2.51191279871748	2.40931900844453
ENSMUSG00000025962	3.15087627813569	1.79254794646865
ENSMUSG00000025959	3.53609798729557	2.56324920060373
ENSMUSG00000025958	2.37585565478597	2.15438064433439
ENSMUSG00000025956	4.16962132857661	3.76779010072341
ENSMUSG00000070871	3.7453339868966	3.10239544479071
ENSMUSG00000045005	0.762574918146083	0.66764507256887
ENSMUSG00000051344	2.92411278995663	2.83830148352144
ENSMUSG00000084416	4.5741267074444	4.07287624348975
ENSMUSG00000100846	3.74248348089054	3.63900344978877
ENSMUSG00000044816	3.34641854231587	3.28020067565103
ENSMUSG00000025950	5.79769908881422	5.55306732786649
ENSMUSG00000025949	1.969393192145	1.53528637410784
ENSMUSG00000025946	2.182999836642	2.31635729721182
ENSMUSG00000015222	6.48567136889771	6.10571137674109
ENSMUSG00000055567	4.59214434030974	4.04306946743763
ENSMUSG00000026005	3.5614261198168	3.64508395327122
ENSMUSG00000026004	2.30286362542472	1.84148703775051
ENSMUSG00000102559	1.91807752437024	2.04976470523296
ENSMUSG00000026003	6.26352449256164	5.98107664265036
ENSMUSG00000061816	2.49988827537071	2.14150829874293
ENSMUSG00000026000	6.14293179554133	6.31917283531075
ENSMUSG00000062209	1.90689767328509	2.16980133467261
ENSMUSG00000025997	0.0137722215432596	-0.346780255090881
ENSMUSG00000053153	0.535605683785558	0.929781899997909
ENSMUSG00000045648	1.81715282899809	1.62373856813687
ENSMUSG00000026192	3.15957243177068	3.48379705405788
ENSMUSG00000026193	4.48658712312336	4.29662041687329
ENSMUSG00000039395	2.58038595972432	2.48875474367809
ENSMUSG00000026189	4.67311104731648	4.38296127726964
ENSMUSG00000026188	3.73208707092583	4.14077923152849
ENSMUSG00000026187	4.8830442276703	4.58871954793069
ENSMUSG00000039372	3.76146232799644	3.88035770454536
ENSMUSG00000039354	4.04471395352817	3.92817423174837
