m5xFAD-A	WT-A	m5xFAD-B	WT-B
ENSMUSG00000025940	5.33753756820459	5.94636559328249	6.32293641878258	5.98849009771175
ENSMUSG00000042686	2.80428072014821	3.33493419199836	3.08380482372353	3.32635447124277
ENSMUSG00000025777	4.24984877475096	3.95020411923505	4.47971486658279	4.45389384341365
ENSMUSG00000100053	1.4722815460195	0.691414918375944	1.47928104484188	0.887368804088467
ENSMUSG00000025776	1.78609325395557	1.210235469656	1.38111415226735	1.36762345127225
ENSMUSG00000099895	4.2177087189339	3.43684209129034	4.22470821775628	3.63279597700287
ENSMUSG00000109887	2.91914051989309	1.40620565408839	2.60051212852386	2.18058107955923
ENSMUSG00000025927	1.29679158194156	0.1039463537874	1.29825282822287	0.299900239499923
ENSMUSG00000041859	2.05315941380842	2.73544412627504	2.63093447101699	2.04644547530612
ENSMUSG00000097934	3.38534190886822	3.22146272507925	2.82442102578669	2.80042916693719
ENSMUSG00000025931	6.18218247951605	5.53239159012184	6.16741993049959	5.77384593716736
ENSMUSG00000041809	3.39997617203321	2.67300855830173	2.81954031582694	3.61448980980611
ENSMUSG00000041779	1.54517009739989	1.08000994850547	2.21354915057887	0.228189117307725
ENSMUSG00000025933	5.97868736704608	6.37627636904287	6.03028533068498	6.465663943256
ENSMUSG00000025934	1.42981653800883	1.26593735421986	1.43681603683121	1.83508120001713
ENSMUSG00000028033	3.96419621791331	3.95806317780309	4.51923196643654	4.3599392578927
ENSMUSG00000041670	4.86752006742867	4.61912053221184	5.03648513827754	4.88441432542992
ENSMUSG00000026158	4.71411136753867	5.12553444297536	4.98431420927841	4.92531146956627
ENSMUSG00000026156	3.02191893817727	3.61264855547548	3.01173306674121	3.12143678804028
ENSMUSG00000026155	4.11596967168856	3.81834185153195	4.74629863077282	4.35628737525579
ENSMUSG00000026154	6.23553482075913	5.95099005756917	5.94533341213423	6.22830617719976
ENSMUSG00000026153	2.69641354684777	1.68463243788916	1.99081641625205	1.99069729557397
ENSMUSG00000026147	0.628560024929161	1.04354493288341	1.62086396346429	1.20093291449966
ENSMUSG00000026141	1.49703320228252	-0.0159016635221754	1.75471862184055	0.758473761948661
ENSMUSG00000100131	4.15181646672262	2.95897123856846	3.7468373650344	3.7333466640393
ENSMUSG00000067736	5.31495258097683	5.15107339718785	4.75403169789529	5.72021724298513
ENSMUSG00000101939	6.49155043136574	6.70093198617421	6.9404874581447	6.29256171491874
ENSMUSG00000101111	5.7673088604503	5.65769464803297	6.20299084648859	5.88539784202617
